volatile acidity,sulphates,alcohol,quality
0.32,0.42,12.4,7
0.22,0.4,9.1,5
0.36,0.39,10.6,5
0.24,0.42,8.9,6
0.24,0.5,9.5,5
0.23,0.49,9.8,5
0.27,0.59,9.6,6
0.46,0.44,12.6,7
0.29,0.54,9.3,5
0.42,0.29,10,5
0.3,0.54,12.7,6
0.19,0.39,11,6
0.48,0.39,11.4,4
0.22,0.33,11.5,7
0.27,0.64,10.2,5
0.23,0.27,11.4,6
0.32,0.41,12.6,4
0.23,0.39,9.4,5
0.67,0.35,8.7,4
0.25,0.68,9.2,6
0.33,0.66,9.3,6
0.34,0.43,9.2,5
0.28,0.5,8.7,5
0.27,0.58,9.6,6
0.26,0.63,9.3,5
0.29,0.63,9.3,5
0.24,0.61,9.9,6
0.3,0.5,11,5
0.53,0.57,12.7,8
0.28,0.54,8.9,4
0.28,0.55,8.9,6
0.28,0.5,8.7,5
0.28,0.37,11.4,6
0.15,0.42,9.6,5
0.29,0.41,9.1,5
0.3,0.39,9.1,6
0.29,0.38,9.1,5
0.26,0.47,8.9,5
0.32,0.49,8.8,5
0.26,0.47,8.9,5
0.27,0.5,9.3,5
0.32,0.49,8.8,5
0.54,0.5,9.6,5
0.26,0.53,12,6
0.28,0.5,10.2,4
0.21,0.43,8.8,5
0.16,0.34,9.2,5
0.44,0.51,9.9,4
0.57,0.74,10.2,5
0.4,0.77,9.5,6
0.245,0.34,10.5,5
0.18,0.59,11.2,7
0.16,0.34,9.2,5
0.13,0.37,9.7,6
0.25,0.44,11.1,7
0.26,0.38,9.4,5
0.27,0.33,11,5
0.26,0.38,9.4,5
0.28,0.44,9.4,5
0.23,0.32,11,5
0.27,0.33,11,5
0.685,0.55,9.1,6
0.25,0.44,11.1,7
0.19,0.39,9.1,6
0.495,0.54,10.4,6
0.24,0.39,8.7,5
0.17,0.5,9.7,6
0.25,0.52,9.1,6
0.17,0.5,9.7,6
0.24,0.39,8.7,5
0.64,0.46,8.9,4
0.28,0.51,9.6,6
0.27,0.51,9.5,6
0.23,0.44,9,6
0.23,0.44,9,6
0.23,0.44,9,6
0.23,0.44,9,6
0.52,0.5,9.6,6
0.26,0.41,11.1,7
0.25,0.64,9.6,6
0.32,0.46,8.7,5
0.31,0.5,10.4,5
0.21,0.38,11.4,7
0.24,0.58,9.7,6
0.4,0.46,8.7,5
0.18,0.79,11.3,6
0.21,0.61,12.6,7
0.2,0.36,10.9,7
0.19,0.37,10.9,7
0.41,0.45,10,5
0.21,0.7,10,4
0.26,0.5,9.8,3
0.4,0.46,8.7,5
0.24,0.43,11.7,3
0.24,0.52,9.3,6
0.26,0.58,9.6,8
0.35,0.41,11,7
0.35,0.41,11,7
0.23,0.5,11.8,6
0.36,0.34,11.4,4
0.115,0.42,10.2,6
0.29,0.47,8.9,5
0.28,0.33,10.2,5
0.29,0.59,9.6,6
0.24,0.48,10.6,6
0.29,0.47,8.9,5
0.32,0.51,9.2,6
0.58,0.57,9.7,5
0.585,0.57,9.7,6
0.59,0.57,9.7,6
0.32,0.51,9.2,6
0.6,0.58,9.7,5
0.25,0.38,9.3,5
0.58,0.38,9,5
0.29,0.61,9.5,5
0.19,0.57,9.8,6
0.2,0.58,9.8,6
0.26,0.5,10.6,5
0.32,0.47,10.6,4
0.3,0.68,12.4,7
0.24,0.38,12.6,8
0.31,0.6,12.3,8
0.44,0.65,10.5,4
0.34,0.49,9.3,5
0.35,0.49,8.8,5
0.32,0.47,8.8,5
0.28,0.51,9.7,6
0.23,0.48,9,7
0.23,0.48,9,7
0.23,0.48,9,7
0.23,0.48,9,7
0.15,0.46,10.5,6
0.28,0.44,9.1,5
0.28,0.64,9.8,7
0.59,0.38,8.5,3
0.33,0.54,9.4,6
0.39,0.57,9.4,5
0.19,0.6,11.2,7
0.17,0.45,10,6
0.17,0.45,10.3,6
0.41,0.67,10.8,6
0.2,0.38,10.5,6
0.41,0.67,10.8,6
0.29,0.43,11.1,6
0.41,0.41,9.9,6
0.41,0.41,9.9,6
0.43,0.41,9.9,5
0.4,0.41,9.9,6
0.33,0.42,10.4,7
0.31,0.41,10.4,6
0.36,0.71,11.5,7
0.55,0.51,12.5,8
0.25,0.45,10,6
0.36,0.63,10,6
0.34,0.62,10,5
0.28,0.44,9.1,6
0.25,0.38,10.6,6
0.24,0.37,10.5,5
0.3,0.43,11.5,7
0.125,0.59,10.1,6
0.1,0.61,10.3,7
0.24,0.37,10.5,5
0.25,0.38,10.6,6
0.28,0.36,10.4,6
0.41,0.55,11.4,5
0.27,0.59,10.5,5
0.26,0.6,10,6
0.34,0.65,10,6
0.28,0.5,9.6,6
0.21,0.51,10.4,5
0.32,0.6,12.5,8
0.24,0.39,10.6,5
0.23,0.4,11.8,6
0.28,0.44,9.8,5
0.26,0.38,10.8,5
0.23,0.4,11.8,6
0.23,0.42,11.2,6
0.27,0.42,9.3,6
0.26,0.53,10.4,5
0.18,0.85,10.2,7
0.2,0.55,9,7
0.24,0.54,10,6
0.26,0.47,9.1,6
0.31,0.76,10,5
0.29,0.75,10,6
0.145,0.4,9.6,6
0.34,0.51,11.2,7
0.19,0.44,8.8,6
0.18,0.5,10,6
0.17,0.47,10,5
0.12,0.74,11.4,7
0.33,0.3,11.9,7
0.335,0.51,9.6,6
0.33,0.3,11.9,7
0.4,0.57,9.6,6
0.22,0.38,9,6
0.22,0.38,9,6
0.36,0.78,9.5,6
0.2,0.42,10.4,6
0.24,0.59,10.6,6
0.24,0.5,10.2,6
0.365,0.43,8.9,5
0.15,0.39,9.7,6
0.22,0.38,9,6
0.16,0.42,11.4,7
0.26,0.71,12.3,7
0.18,0.62,10.8,6
0.33,0.45,9.4,6
0.29,0.64,10.6,6
0.39,0.29,11.6,5
0.33,0.45,9.4,6
0.29,0.64,10.6,6
0.905,0.56,10,5
0.27,0.51,9.2,6
0.33,0.38,12.5,7
0.33,0.38,12.5,7
0.31,0.51,10.4,7
0.2,0.46,10,7
0.32,0.64,10,6
0.31,0.51,10.4,7
0.2,0.46,10,7
0.28,0.52,9,6
0.35,0.53,9.2,6
0.27,0.51,9.2,6
0.36,0.39,11.3,7
0.33,0.38,12.5,7
0.17,0.39,10.8,7
0.39,0.66,10.1,5
0.21,0.46,9.7,6
0.3,0.61,9.3,7
0.3,0.61,9.3,7
0.36,0.46,10.6,5
0.55,0.47,10.2,6
0.24,0.56,12.2,6
0.37,0.44,8.8,5
0.27,0.41,10,5
0.28,0.39,11.4,5
0.2,0.5,11.4,6
0.26,0.44,9.4,5
0.19,0.41,11.7,6
0.2,0.5,11.4,6
0.37,0.44,8.8,5
0.35,0.52,9.2,5
0.27,0.56,8.7,5
0.22,0.66,12.6,6
0.27,0.41,10,5
0.28,0.39,12.8,7
0.49,0.51,9.4,5
0.14,0.53,10.3,6
0.28,0.39,11.4,5
0.25,0.47,9,6
0.28,0.79,9.6,6
0.19,0.5,10.5,5
0.19,0.5,10.5,5
0.25,0.47,9,6
0.28,0.79,9.6,6
0.21,0.33,9.8,6
0.26,0.47,9,5
0.21,0.33,9.8,6
0.31,0.56,10.5,6
0.22,0.37,12.7,7
0.21,0.54,10.4,6
0.21,0.54,10.4,6
0.21,0.54,10.4,6
0.23,0.52,10.5,7
0.21,0.54,10.4,6
0.21,0.54,10.4,6
0.29,0.45,9.4,5
0.21,0.46,9.1,5
0.31,0.49,9.3,5
0.29,0.45,9.4,5
0.34,0.38,9.8,5
0.155,0.61,9.9,7
0.55,0.57,9.2,4
0.23,0.47,12.1,8
0.2,0.49,12.2,7
0.28,0.6,9.8,5
0.16,0.64,12.4,8
0.155,0.61,9.9,7
0.35,0.54,9.2,5
0.22,0.59,11.6,7
0.38,0.69,10.4,6
0.25,0.65,12.9,8
0.52,0.54,9.3,6
0.24,0.33,11,6
0.32,0.4,11.5,3
0.28,0.42,12.4,5
0.41,0.53,9.8,6
0.41,0.53,9.8,6
0.28,0.56,10.5,7
0.6,0.54,9.1,5
0.2,0.44,10.1,5
0.46,0.51,10.6,7
0.27,0.51,10.5,7
0.28,0.56,10.5,7
0.41,0.53,9.8,6
0.23,0.4,12.9,7
0.21,0.52,9.5,5
0.37,0.72,9.8,6
0.43,0.5,8.5,5
0.21,0.52,9.5,5
0.25,0.45,9.3,5
0.25,0.38,9.5,5
0.32,0.39,9.4,6
0.39,0.5,8.7,5
0.21,0.46,8.9,5
0.14,0.43,9.4,6
0.32,0.39,9.4,6
0.39,0.5,8.7,5
0.29,0.52,9.6,5
0.37,0.73,9.3,6
0.38,0.76,10,5
0.24,0.45,12.5,6
0.17,0.48,9.6,7
0.16,0.36,9.4,6
0.24,0.61,9.5,5
0.28,0.39,12.4,7
0.22,0.55,10.5,6
0.55,0.58,9.2,6
0.22,0.56,10.4,6
0.47,0.6,9.2,5
0.36,0.51,10.6,6
0.25,0.42,9.5,5
0.47,0.6,9.2,5
0.37,0.58,9.6,5
0.18,0.54,9.7,6
0.16,0.51,9.7,6
0.34,0.42,10.7,6
0.29,0.68,10.5,6
0.26,0.45,8.9,6
0.28,0.46,12.1,6
0.23,0.4,12.7,7
0.19,0.46,9.9,6
0.19,0.64,11.4,6
0.2,0.58,10.7,6
0.44,0.48,12.5,6
0.4,0.49,8.6,4
0.23,0.54,12.5,6
0.335,0.66,10,5
0.4,0.49,8.6,4
0.28,0.49,9.5,6
0.19,0.48,9.6,6
0.3,0.62,9.9,6
0.3,0.62,9.9,5
0.18,0.53,8.9,6
0.18,0.53,8.9,6
0.51,0.52,8.8,5
0.24,0.54,10,7
0.62,0.44,12,6
0.24,0.54,10,7
0.27,0.42,10,6
0.34,0.41,12.1,6
0.26,0.59,11,6
0.36,0.33,11.2,6
0.28,0.39,10.3,7
0.31,0.47,10.4,6
0.18,0.45,9.1,5
0.15,0.6,10.4,6
0.13,0.64,10.8,6
0.34,0.4,11.7,5
0.19,0.74,9.8,5
0.19,0.74,9.8,5
0.25,0.39,11.4,6
0.36,0.38,11.2,6
0.35,0.34,11.4,5
0.32,0.45,9.2,6
0.31,0.53,12.5,4
0.28,0.44,12.6,6
0.36,0.35,12.2,6
0.19,0.45,11.2,6
0.1,0.79,9.7,6
0.18,0.4,9.3,5
0.25,0.48,9,6
0.25,0.48,9,6
0.25,0.48,9,6
0.345,0.51,9.1,5
0.345,0.51,9.1,5
0.25,0.48,9,6
0.24,0.54,10.4,5
0.25,0.67,9.5,6
0.31,0.55,11.4,4
0.46,0.42,8.7,5
0.35,0.68,9.9,6
0.24,0.62,9.9,6
0.28,0.51,9,6
0.16,0.58,10,6
0.26,0.64,9.7,6
0.22,0.49,11.8,6
0.18,0.5,10.2,7
0.46,0.42,8.7,5
0.3,0.52,9.6,7
0.25,0.37,11.3,7
0.28,0.38,12.1,7
0.3,0.52,9.6,7
0.28,0.38,12.1,7
0.25,0.37,11.3,7
0.35,0.65,9.4,5
0.41,0.5,10.4,6
0.21,0.39,9.5,5
0.34,0.76,12.3,6
0.21,0.74,9.9,7
0.37,0.48,10.1,5
0.34,0.63,9.2,6
0.3,0.77,10.4,7
0.51,0.42,9.1,5
0.22,0.47,10,6
0.35,0.39,11.5,6
0.26,0.61,9.8,5
0.26,0.6,9.8,6
0.28,0.69,9.4,6
0.41,0.46,8.7,5
0.28,0.41,11.6,7
0.34,0.56,8.8,5
0.2,0.39,12.7,7
0.2,0.44,11.7,7
0.22,0.5,10.2,6
0.23,0.5,10.2,6
0.22,0.38,12.7,7
0.28,0.41,11.6,7
0.38,0.38,12.3,7
0.41,0.46,8.7,5
0.18,0.39,9.4,5
0.3,0.35,10.1,6
0.24,0.36,9.7,6
0.25,0.51,10.1,7
0.24,0.36,9.7,6
0.26,0.48,8.9,6
0.32,0.5,10.8,7
0.28,0.49,10.8,7
0.23,0.58,9.5,6
0.31,0.44,9.1,5
0.2,0.49,10.9,6
0.41,0.52,9.4,5
0.45,0.28,10.8,5
0.475,0.29,10.8,5
0.27,0.5,10.5,7
0.41,0.52,9.4,5
0.29,0.44,10.8,6
0.27,0.48,10.5,8
0.19,0.68,11.5,7
0.3,0.54,9.4,6
0.24,0.38,10.8,6
0.45,0.28,10.8,5
0.475,0.29,10.8,5
0.26,0.61,9.8,6
0.26,0.61,9.8,6
0.25,0.38,9.6,5
0.25,0.38,9.6,5
0.28,0.48,9.5,5
0.37,0.69,10.7,6
0.36,0.65,12.4,8
0.24,0.39,11.1,6
0.23,0.38,8.8,5
0.21,0.36,8.7,5
0.21,0.36,8.7,5
0.23,0.38,8.8,5
0.32,0.65,11.7,7
0.26,0.5,10.9,6
0.24,0.5,10.8,6
0.19,0.5,9.6,6
0.46,0.58,9,5
0.26,0.5,9,5
0.32,0.6,10.4,6
0.24,0.51,11.4,5
0.36,0.55,9.3,5
0.24,0.46,11,8
0.56,0.45,9.1,4
0.32,0.62,9.4,6
0.32,0.62,9.4,6
0.31,0.6,10.5,6
0.23,0.42,8.8,5
0.23,0.42,8.8,5
0.24,0.64,10.7,6
0.29,0.42,9.5,5
0.17,0.49,10.9,6
0.14,0.51,10.8,6
0.17,0.46,10.8,7
0.28,0.62,9.2,5
0.35,0.71,10.3,5
0.335,0.71,10.3,5
0.235,0.5,11,7
0.28,0.43,9,4
0.21,0.5,10.4,6
0.24,0.45,9.5,5
0.24,0.45,9.5,5
0.26,0.41,9,5
0.33,0.57,9.5,4
0.105,0.37,9,6
0.32,0.72,10,5
0.26,0.53,9.1,7
0.26,0.53,9.1,7
0.26,0.53,9.1,7
0.26,0.53,9.1,7
0.24,0.45,9.5,6
0.21,0.75,11.4,7
0.27,0.42,12.2,6
0.27,0.4,11.3,6
0.34,0.44,10.2,5
0.27,0.4,11.3,5
0.29,0.47,10,4
0.28,0.38,9.4,5
0.25,0.5,12.2,7
0.57,0.47,9.2,4
0.28,0.38,9.4,5
0.17,0.52,9.6,6
0.28,0.48,9.5,5
0.22,0.72,12.5,6
0.17,0.52,9.6,6
0.14,0.46,10,6
0.24,0.57,9.3,5
0.42,0.55,9.3,6
0.28,0.57,11.6,6
0.32,0.5,12.5,8
0.31,0.63,10.6,6
0.32,0.6,9.4,5
0.28,0.4,9.1,6
0.29,0.41,9,6
0.32,0.42,11.8,7
0.32,0.42,11.8,7
0.32,0.42,11.8,7
0.28,0.39,10,5
0.34,0.47,9.7,5
0.25,0.44,9.5,6
0.27,0.48,9.4,5
0.46,0.42,11.2,5
0.36,0.46,9,5
0.22,0.53,10.7,7
0.67,0.67,9,4
0.28,0.5,9.1,6
0.17,0.6,10.8,7
0.2,0.6,10.1,4
0.36,0.62,9.9,6
0.36,0.62,9.8,5
0.37,0.63,9.8,5
0.29,0.66,9.5,6
0.34,0.46,9.5,5
0.19,0.57,11.1,6
0.31,0.6,9.5,5
0.31,0.6,9.5,5
0.31,0.59,9.4,5
0.4,0.64,9.7,5
0.34,0.78,13.9,7
0.38,0.45,10.1,4
0.33,0.42,10.5,6
0.25,0.5,12.6,6
0.27,0.34,10.9,5
0.31,0.6,10,5
0.18,0.62,11.2,6
0.2,0.48,10,6
0.47,0.46,9.2,5
0.25,0.45,9.5,5
0.27,0.5,12.3,6
0.27,0.5,12.3,6
0.31,0.43,10,5
0.39,0.5,10.8,6
0.21,0.71,10.5,7
0.42,0.61,9.2,6
0.27,0.5,9.1,5
0.21,0.71,10.5,7
0.29,0.5,10.2,7
0.29,0.45,8.9,5
0.3,0.52,10.4,5
0.31,0.47,11.7,6
0.33,0.44,12.4,8
0.3,0.39,10.9,7
0.39,0.46,10.2,5
0.24,0.66,11.7,7
0.21,0.59,9.4,5
0.16,0.47,10.5,5
0.33,0.62,9.4,5
0.23,0.56,10.4,6
0.25,0.47,9.5,6
0.28,0.33,11.1,7
0.25,0.5,9.1,6
0.38,0.61,9.2,5
0.25,0.49,9.6,6
0.25,0.5,9.1,6
0.38,0.61,9.2,5
0.21,0.39,10.8,7
0.25,0.49,9.6,6
0.39,0.37,12.6,3
0.2,0.55,11,6
0.2,0.61,10.2,6
0.26,0.43,9.4,5
0.38,0.43,10,5
0.2,0.55,12.2,6
0.21,0.56,10.5,6
0.29,0.32,11.5,6
0.18,0.54,9.8,6
0.3,0.32,11.4,6
0.29,0.32,11.5,6
0.2,0.55,10.2,6
0.2,0.5,9.4,6
0.21,0.56,10.5,6
0.35,0.5,9.1,5
0.28,0.48,12.2,7
0.25,0.43,9.5,5
0.22,0.85,9.3,6
0.14,0.96,9.8,7
0.13,0.97,9.8,7
0.18,0.54,9.8,6
0.2,0.54,9.8,6
0.24,0.56,8.7,5
0.44,0.57,10.2,6
0.3,0.69,9.5,6
0.27,0.46,11,6
0.5,0.44,9.2,5
0.2,0.6,10.9,6
0.11,0.4,9.3,7
0.11,0.4,9.3,7
0.12,0.46,9.8,7
0.16,0.39,9.3,7
0.21,0.39,9.3,7
0.27,0.45,9.4,5
0.27,0.46,10.4,9
0.225,0.58,12.1,6
0.14,0.56,11,6
0.23,0.53,9,5
0.22,0.82,9.5,7
0.17,0.75,8.8,8
0.395,0.38,11.2,4
0.29,0.61,9.3,6
0.22,0.82,9.5,7
0.17,0.75,8.8,8
0.23,0.53,9,5
0.3,0.3,9.3,6
0.34,0.29,9.2,6
0.34,0.29,9.2,6
0.34,0.45,10,7
0.3,0.3,9.3,6
0.34,0.29,9.2,6
0.24,0.69,10.9,7
0.46,0.56,10,5
0.24,0.69,10.9,7
0.32,0.52,9.3,5
0.31,0.43,9,5
0.42,0.58,9.2,6
0.24,0.77,9.6,6
0.18,0.4,9.4,6
0.18,0.58,11.1,8
0.27,0.41,8.9,6
0.28,0.47,9.3,5
0.39,0.53,9.3,5
0.21,0.44,9.8,7
0.32,0.46,9.8,6
0.27,0.41,8.9,6
0.31,0.41,9.6,5
0.29,0.41,9.6,6
0.39,0.38,9,6
0.3,0.43,9.5,6
0.28,0.47,9.3,5
0.41,0.56,9.2,6
0.35,0.5,9.1,7
0.26,0.46,9.5,6
0.35,0.59,10.5,6
0.3,0.46,9,5
0.18,0.52,11.7,5
0.56,0.51,9.1,5
0.3,0.46,9,5
0.56,0.51,9.1,5
0.36,0.61,12.4,9
0.655,0.58,9.2,6
0.18,0.43,9.4,5
0.19,0.43,9.6,6
0.18,0.52,11.7,5
0.21,0.56,9.8,6
0.25,0.59,10.2,6
0.24,0.48,12.5,9
0.16,0.44,10.9,7
0.16,0.42,11,7
0.205,0.69,10.5,6
0.17,0.62,11.5,4
0.3,0.53,12.8,8
0.25,0.44,12.2,6
0.205,0.69,10.5,6
0.42,0.45,12.8,8
0.25,0.4,11.9,8
0.25,0.4,11.9,8
0.25,0.4,11.9,8
0.34,0.39,12,7
0.33,0.39,12,7
0.23,0.47,8.8,7
0.23,0.47,8.8,7
0.19,0.54,10.8,7
0.21,0.5,11,8
0.21,0.5,11,8
0.22,0.4,9.3,5
0.34,0.39,10.8,5
0.23,0.47,8.8,7
0.2,0.47,11.5,6
0.19,0.54,10.8,7
0.38,0.54,9.4,5
0.18,0.95,9.5,7
0.34,0.49,8.6,5
0.18,0.95,9.5,7
0.2,0.77,10.3,7
0.38,0.54,9.4,5
0.4,0.52,9.4,5
0.22,0.54,10,7
0.3,0.47,9.4,5
0.27,0.63,10.4,8
0.25,0.75,9.1,7
0.34,0.61,9.9,6
0.28,0.5,12.1,6
0.33,0.61,9.9,5
0.27,0.3,12.5,6
0.18,0.95,9.5,7
0.18,0.76,8.5,8
0.28,0.82,9,7
0.24,0.7,10.1,6
0.45,0.48,9.4,5
0.34,0.49,8.6,5
0.26,0.34,10.7,6
0.17,0.28,9.6,3
0.15,0.39,10.1,5
0.21,0.57,10,7
0.36,0.36,12.7,9
0.28,0.38,10.2,6
0.16,0.37,8.9,6
0.12,0.82,11.9,8
0.21,0.57,10,7
0.36,0.48,9.9,6
0.26,0.55,11.5,6
0.26,0.55,11.5,6
0.23,0.52,9.8,6
0.34,0.67,12.2,7
0.26,0.51,11.4,6
0.3,0.68,11,7
0.26,0.51,11.4,6
0.3,0.68,11,7
0.31,0.63,9.9,6
0.26,0.4,11,7
0.26,0.48,9.4,5
0.31,0.36,12.2,7
0.26,0.4,11,7
0.19,0.53,10.3,6
0.18,0.53,10.5,6
0.29,0.46,10.5,6
0.26,0.49,10.9,6
0.18,0.53,10.5,6
0.2,0.56,11,7
0.29,0.37,9.7,6
0.28,0.4,8.9,5
0.31,0.39,9.6,6
0.21,0.47,8.8,8
0.19,0.65,11.1,4
0.27,0.61,10.3,4
0.25,0.43,12.2,8
0.23,0.47,9.8,4
0.24,0.53,8.8,5
0.33,0.63,9.9,5
0.33,0.63,9.9,5
0.34,0.63,9.9,5
0.29,0.35,9.2,5
0.32,0.37,9.5,4
0.29,0.35,9.2,5
0.13,0.56,10.3,7
0.3,0.33,11,6
0.24,0.39,11.9,6
0.18,0.32,10.2,7
0.11,0.44,9.4,7
0.32,0.44,8.9,6
0.32,0.44,8.9,6
0.26,0.43,10,6
0.28,0.49,10.7,8
0.27,0.43,9.8,5
0.595,0.38,9.3,5
0.25,0.48,9.5,7
0.25,0.47,10,5
0.36,0.51,9,5
0.17,0.4,11.9,7
0.26,0.38,8.9,5
0.26,0.41,10,6
0.29,0.41,9.6,5
0.28,0.38,8.9,5
0.27,0.4,8.9,5
0.43,0.41,11.4,5
0.36,0.51,9,5
0.35,0.55,10,6
0.24,0.47,9.6,7
0.34,0.6,9.7,5
0.27,0.53,9.5,6
0.415,0.41,10,7
0.48,0.38,12.2,7
0.18,0.44,8.7,7
0.15,0.44,10.2,7
0.345,0.43,9.6,5
0.16,0.36,10,5
0.705,0.52,9.5,4
0.25,0.46,11.5,5
0.345,0.38,9.5,5
0.22,0.49,9.8,6
0.17,0.55,10.1,6
0.23,0.36,10,5
0.22,0.49,9.8,6
0.345,0.38,9.5,5
0.32,0.38,9.5,5
0.23,0.54,10.2,7
0.2,0.54,10.2,7
0.24,0.42,9,6
0.24,0.42,9,6
0.42,0.57,12.3,7
0.24,0.42,9,6
0.19,0.51,11.6,6
0.26,0.43,9.5,6
0.23,0.36,11.5,5
0.34,0.37,9.6,6
0.22,0.42,9,6
0.08,0.7,12,7
0.42,0.51,11.4,7
0.42,0.36,12.3,7
0.27,0.47,12.6,7
0.22,0.42,9,6
0.08,0.7,12,7
0.13,0.9,11.7,6
0.3,0.49,9.2,5
0.13,0.45,10.3,6
0.14,0.49,8.6,5
0.28,0.62,10.7,7
0.2,0.47,9.8,5
0.19,0.46,9.8,6
0.28,0.62,10.7,7
0.39,0.45,12.5,6
0.36,0.45,11.9,6
0.19,0.52,10.8,5
0.41,0.52,10.5,6
0.28,0.48,10.3,6
0.3,0.45,10.3,6
0.19,0.52,10.8,5
0.28,0.38,12,7
0.16,0.39,10.2,6
0.26,0.62,10.2,4
0.25,0.39,9.9,5
0.24,0.47,10.1,4
0.18,0.55,9.5,6
0.27,0.45,10.5,6
0.26,0.63,10.4,5
0.24,0.47,9.5,6
0.24,0.5,9.2,6
0.21,0.54,10.1,7
0.19,0.45,9.8,7
0.28,0.46,9.4,5
0.28,0.45,9.4,6
0.24,0.48,10.4,7
0.36,0.55,11.3,6
0.18,0.64,10.8,6
0.36,0.55,11.3,6
0.52,0.43,9.3,5
0.22,0.55,10.3,7
0.15,0.39,10.5,6
0.16,0.75,10.3,6
0.16,0.66,11.2,7
0.16,0.41,10.3,6
0.25,0.5,9.5,5
0.16,0.43,8.9,5
0.39,0.29,10.2,5
0.37,0.88,9.2,5
